Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\MotorESC\Project Outputs for MotorESC\Pick Place for MotorESC.csv

========================================================================================================================
File Design Information:

Date:       03/10/25
Time:       18:57
Revision:   be278f6e9f2b71afba1455dcc60ae35944424f9b
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J3","9931-0-00-15-00-00-03-0","TopLayer","9931000150000030","19.5000","28.9091","90","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J14","9931-0-00-15-00-00-03-0","BottomLayer","9931000150000030","14.4069","5.1750","270","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J13","9931-0-00-15-00-00-03-0","BottomLayer","9931000150000030","14.4069","8.5999","270","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J12","9931-0-00-15-00-00-03-0","BottomLayer","9931000150000030","12.9651","5.1750","270","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J11","9931-0-00-15-00-00-03-0","BottomLayer","9931000150000030","12.9651","8.5999","270","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J10","9931-0-00-15-00-00-03-0","BottomLayer","9931000150000030","11.5418","5.1750","270","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J9","9931-0-00-15-00-00-03-0","BottomLayer","9931000150000030","11.5418","8.5999","270","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J8","9931-0-00-15-00-00-03-0","TopLayer","9931000150000030","13.6689","14.7651","0","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J6","9931-0-00-15-00-00-03-0","TopLayer","9931000150000030","9.0089","19.4834","0","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J4","9931-0-00-15-00-00-03-0","TopLayer","9931000150000030","11.3493","19.4834","0","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J5","9931-0-00-15-00-00-03-0","TopLayer","9931000150000030","16.2642","26.4501","0","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"J7","9931-0-00-15-00-00-03-0","TopLayer","9931000150000030","13.7648","19.4834","0","Circuit Board Hardware - PCB STANDARD I.C. PIN"
"U32","NCP81161MNTBG","BottomLayer","DFN8_2X2_ONS","14.9458","31.6126","90","No Description Available"
